year_local,mean,median,std,min,max,count
2019,37.666600456621005,38.06,15.517500217844347,-90.01,121.46,8760
2020,30.470714936247724,30.99,17.500846457335637,-83.94,200.04,8784
2021,96.84991780821917,75.48,73.68094745550245,-69.0,620.0,8760
2022,235.44614269406392,208.34,142.80940888505583,-19.04,871.0,8760
2023,95.17545205479452,98.02,47.58421490252999,-500.0,524.27,8760
2024,78.51203324225865,79.58500000000001,52.72640883769934,-135.45,936.28,8784
2025,89.32172260273973,92.43,52.101535803750345,-250.32,583.4,8760
