strategy,trading_days,no_trade_days,gross_pnl,net_pnl,mean_daily_pnl,median_daily_pnl,profitable_day_rate,trade_hit_rate,worst_day
S0,0,1081,0.0,0.0,0.0,0.0,0.0,,0.0
S1,1043,38,75904.64837499999,56609.148375,52.36738980111008,37.7015,0.816836262719704,0.8465963566634708,-77.635
S2,1065,16,84606.427375,64903.92737499999,60.04063586956521,47.21,0.9111933395004626,0.9248826291079812,-28.001000000000005
S3,654,427,68281.42087500001,56182.420875,51.97263725716929,37.5415,0.5985198889916744,0.9892966360856269,-17.243499999999997
S4,1046,35,77530.078125,58179.078125,53.81968374190564,41.2745,0.8371877890841813,0.8652007648183556,-56.8175
S5,301,780,35475.295125000004,29906.795124999997,27.66586043015726,0.0,0.26919518963922295,0.9667774086378738,-55.045000000000016
