fold,n,nominal_coverage,empirical_coverage,frac_below_lower,frac_above_upper
fold_1,8398,0.8,0.8020957370802572,0.09418909264110502,0.10371517027863777
fold_2,8782,0.8,0.7887724891824186,0.11386927806877704,0.09735823274880437
fold_3,6551,0.8,0.7792703404060449,0.10807510303770416,0.11265455655625095
regime_stress_test,2207,0.8,0.7947439963751699,0.1137290439510648,0.0915269596737653
