timestamp_utc,price_eur_mwh,prediction,residual,forecast_q10,forecast_q50,forecast_q90
2023-01-06 01:00:00+00:00,96.73,55.744361877441406,40.9856381225586,,,
2023-01-06 02:00:00+00:00,82.34,52.56070327758789,29.779296722412113,,,
2023-01-06 03:00:00+00:00,81.93,51.16553115844727,30.764468841552734,,,
2023-01-06 04:00:00+00:00,84.03,52.42970275878906,31.60029724121094,,,
2023-01-06 05:00:00+00:00,97.25,66.52000427246094,30.729995727539062,,,
2023-01-06 06:00:00+00:00,106.51,79.53872680664062,26.97127319335938,,,
2023-01-06 07:00:00+00:00,120.7,83.42072296142578,37.27927703857422,,,
2023-01-06 08:00:00+00:00,116.86,89.51484680175781,27.345153198242187,,,
2023-01-06 09:00:00+00:00,112.85,91.17388153076172,21.676118469238276,,,
2023-01-06 10:00:00+00:00,113.37,100.16089630126952,13.209103698730488,,,
2023-01-06 11:00:00+00:00,115.0,100.16089630126952,14.839103698730483,,,
2023-01-06 12:00:00+00:00,109.78,99.21347045898438,10.566529541015626,,,
2023-01-06 13:00:00+00:00,119.71,104.41597747802734,15.29402252197265,,,
2023-01-06 14:00:00+00:00,125.83,133.91346740722656,-8.083467407226564,,,
2023-01-06 15:00:00+00:00,139.57,155.93670654296875,-16.366706542968757,,,
2023-01-06 16:00:00+00:00,155.93,178.0581512451172,-22.12815124511718,,,
2023-01-06 17:00:00+00:00,163.5,183.4383087158203,-19.938308715820312,,,
2023-01-06 18:00:00+00:00,146.74,172.5119171142578,-25.771917114257803,,,
2023-01-06 19:00:00+00:00,139.38,162.7388916015625,-23.358891601562505,,,
2023-01-06 20:00:00+00:00,131.8,152.8151397705078,-21.0151397705078,,,
2023-01-06 21:00:00+00:00,129.94,135.91781616210938,-5.977816162109377,,,
2023-01-06 22:00:00+00:00,121.3,130.72531127929688,-9.425311279296878,,,
2023-01-06 23:00:00+00:00,97.15,102.01548767089844,-4.865487670898432,,,
2023-01-07 00:00:00+00:00,98.43,102.12725067138672,-3.697250671386712,,,
2023-01-07 01:00:00+00:00,96.05,93.80484008789062,2.245159912109372,,,
2023-01-07 02:00:00+00:00,87.97,89.58403778076172,-1.6140377807617199,,,
2023-01-07 03:00:00+00:00,82.99,88.18074798583984,-5.190747985839849,,,
2023-01-07 04:00:00+00:00,83.59,87.82147979736328,-4.231479797363278,,,
2023-01-07 05:00:00+00:00,90.76,87.38262939453125,3.377370605468755,,,
2023-01-07 06:00:00+00:00,103.21,93.97844696044922,9.231553039550775,,,
2023-01-07 07:00:00+00:00,111.86,121.33220672607422,-9.47220672607422,,,
2023-01-07 08:00:00+00:00,112.0,115.6806869506836,-3.6806869506835938,,,
2023-01-07 09:00:00+00:00,100.0,108.78629302978516,-8.786293029785156,,,
2023-01-07 10:00:00+00:00,88.32,105.2508544921875,-16.930854492187507,,,
2023-01-07 11:00:00+00:00,87.9,103.84358978271484,-15.943589782714838,,,
2023-01-07 12:00:00+00:00,94.05,100.54792022705078,-6.497920227050784,,,
2023-01-07 13:00:00+00:00,88.98,111.0620346069336,-22.08203460693359,,,
2023-01-07 14:00:00+00:00,85.56,111.99445343017578,-26.43445343017578,,,
2023-01-07 15:00:00+00:00,94.1,120.82271575927734,-26.72271575927735,,,
2023-01-07 16:00:00+00:00,96.81,129.86752319335938,-33.05752319335937,,,
2023-01-07 17:00:00+00:00,99.52,118.83121490478516,-19.31121490478516,,,
2023-01-07 18:00:00+00:00,94.58,107.52340698242188,-12.943406982421877,,,
2023-01-07 19:00:00+00:00,87.86,96.43445587158205,-8.574455871582046,,,
2023-01-07 20:00:00+00:00,61.47,85.78242492675781,-24.312424926757814,,,
2023-01-07 21:00:00+00:00,50.0,84.40540313720703,-34.40540313720703,,,
2023-01-07 22:00:00+00:00,38.25,83.25167083740234,-45.001670837402344,,,
2023-01-07 23:00:00+00:00,10.93,64.49290466308594,-53.56290466308594,,,
2023-01-08 00:00:00+00:00,9.07,64.80021667480469,-55.73021667480469,,,
2023-01-08 01:00:00+00:00,9.1,65.63262939453125,-56.53262939453125,,,
2023-01-08 02:00:00+00:00,4.16,62.17224884033203,-58.012248840332035,,,
2023-01-08 03:00:00+00:00,5.58,65.96337890625,-60.38337890625,,,
2023-01-08 04:00:00+00:00,9.92,64.37201690673828,-54.45201690673828,,,
