,count,mean,std,min,1%,5%,50%,95%,99%,max
load_forecast_mw,61318.0,54676.21191849946,9230.84870577609,30893.055,36607.69194999999,40233.386375,54511.505000000005,69235.227,71941.94850000001,78154.37
wind_onshore_forecast_mw,61365.0,11856.40740221425,9381.017860243805,161.3775,743.4659,1597.9295000000002,9071.414999999999,31718.783999999992,39273.1203,46769.24
wind_offshore_forecast_mw,61368.0,2858.2606632120974,1861.9426847921154,12.905,89.01389999999999,266.99887500000006,2697.5212500000002,5825.753249999999,6262.04665,6834.5025
solar_forecast_mw,61365.0,6264.974580793653,9695.292764972372,0.0,0.0,0.0,240.11499999999998,27911.139999999978,37696.1673,50917.715
renewables_forecast_mw,61365.0,20979.5566966476,12839.776585828353,324.90250000000003,2114.1426,3947.751,19095.2575,44419.91949999999,53693.40660000001,75033.9075
residual_load_forecast_mw,61317.0,33699.28962687787,13345.154934869062,-13601.894999999997,1092.8871000000004,10049.244000000004,34628.815,54537.7435,62051.64409999999,70888.26000000001
renewable_share_forecast,61317.0,0.3820873913984398,0.22719782958584325,0.005124385456020861,0.0433923903942596,0.07822556834209064,0.34870896366883003,0.8038301421575679,0.9781712808392061,1.2839600477946735
