hour_local,mean,std,count
0,86.76437622213531,81.23409261447516,2557
1,80.92132968322252,76.36934014497582,2557
2,77.84485138834572,74.51774627762676,2557
3,75.76112925303089,72.92604370060255,2557
4,76.75234063355494,73.27319135968484,2557
5,82.84304751662104,77.61811035032882,2557
6,98.99343273367226,91.64673703367914,2557
7,113.51688306609307,103.37669075355585,2557
8,115.19951505670707,106.63880035185447,2557
9,103.50635217051232,99.62017766223087,2557
10,91.56129057489245,93.48338582122702,2557
11,84.19120746969105,90.21291187380687,2557
12,77.12188013296831,86.72231614742762,2557
13,71.91647927258506,85.74193109711997,2557
14,72.20279135705906,87.24710692015081,2557
15,79.3888951896754,89.49514515404695,2557
16,89.90172076652327,93.64010381915644,2557
17,108.85574696910443,104.29054722186937,2557
18,123.3366063746578,108.74412604469988,2557
19,131.90971646460696,114.56556749768608,2557
20,124.68163863903011,107.91358503081307,2557
21,111.50899393820883,98.14864069961835,2557
22,103.79652718028939,91.6038654973718,2557
23,91.42728392647633,82.94876164542268,2557
