month_local,mean,std,count
1,87.64309907834101,63.51703110991587,5208
2,79.67143518518517,54.62458006441455,4752
3,87.74791578542587,89.0175562578345,5201
4,73.4906488095238,61.03765541729733,5040
5,71.78999807987711,63.32491511182416,5208
6,83.20671428571428,75.13290783331678,5040
7,99.88807795698925,105.98706992484577,5208
8,124.70745007680492,155.62345186449315,5208
9,116.63898214285713,117.59025662815537,5040
10,88.69676797698946,66.57255504874804,5215
11,105.21183878968253,76.95381727025845,5040
12,116.92386280721966,116.2275932485583,5208
