year_local,pearson,spearman,n
2019,0.8476621780362866,0.8630577505780557,8760.0
2020,0.8276860677217485,0.8153742141476481,8784.0
2021,0.5831969338917058,0.5718390086409461,8760.0
2022,0.6232427618083415,0.681960960574432,8712.0
2023,0.8828318865291745,0.9006673320195032,8759.0
2024,0.7754319211387547,0.8504007796593535,8783.0
2025,0.8706067636260788,0.9056410640102696,8759.0
