dow_local,mean,std,count
0,100.10410844748858,96.40233444374743,8760
1,106.03731898907104,101.24560980143627,8784
2,106.12931323998178,100.85885817755884,8784
3,103.7179355022831,99.19917005638825,8760
4,98.39886815068493,91.57116564281435,8760
5,80.36924343607306,80.81783490547852,8760
6,68.403100456621,76.32531790559334,8760
