timestamp_utc,price_seq2
2025-10-01 00:45:00+00:00,96.0
2025-10-02 01:30:00+00:00,91.6
2025-10-03 23:30:00+00:00,-8.25
2025-10-04 00:15:00+00:00,-4.93
2025-10-04 03:30:00+00:00,-1.8
2025-10-04 18:30:00+00:00,9.7
2025-10-05 01:30:00+00:00,9.9
2025-10-05 03:45:00+00:00,1.2
2025-10-05 09:15:00+00:00,-10.9
2025-10-05 12:30:00+00:00,-23.2
2025-10-11 05:45:00+00:00,124.92
2025-10-16 01:30:00+00:00,79.57
2025-10-23 03:15:00+00:00,55.09
2025-10-24 01:30:00+00:00,10.0
2025-10-24 01:45:00+00:00,0.63
2025-10-24 10:30:00+00:00,14.1
2025-10-24 11:30:00+00:00,1.9
2025-10-24 12:00:00+00:00,-1.5
2025-10-24 12:30:00+00:00,2.6
2025-10-24 18:00:00+00:00,50.8
2025-10-25 01:00:00+00:00,1.26
2025-10-25 01:15:00+00:00,1.5
2025-10-25 01:30:00+00:00,0.51
2025-10-25 02:00:00+00:00,1.0
2025-10-25 02:15:00+00:00,0.7
2025-10-25 03:15:00+00:00,-0.8
2025-10-26 03:30:00+00:00,-3.0
2025-10-26 04:30:00+00:00,-6.5
2025-10-26 04:45:00+00:00,-2.6
2025-10-26 08:00:00+00:00,0.1
2025-10-26 09:15:00+00:00,0.44
2025-10-26 09:45:00+00:00,-1.54
2025-10-26 11:00:00+00:00,-2.8
2025-10-26 12:00:00+00:00,-1.4
2025-10-26 23:45:00+00:00,-0.6
2025-10-27 02:15:00+00:00,3.4
2025-10-27 02:30:00+00:00,5.5
2025-10-30 11:00:00+00:00,0.69
2025-10-30 11:15:00+00:00,15.02
2025-11-01 10:00:00+00:00,15.06
2025-11-06 06:30:00+00:00,149.2
2025-11-10 21:45:00+00:00,93.0
2025-11-13 03:30:00+00:00,20.1
2025-11-16 07:15:00+00:00,94.6
2025-11-19 15:30:00+00:00,121.8
2025-11-19 16:00:00+00:00,129.9
2025-11-20 02:00:00+00:00,88.2
2025-11-25 11:15:00+00:00,208.48
2025-12-07 02:15:00+00:00,53.4
2025-12-12 19:15:00+00:00,126.4
2025-12-15 22:00:00+00:00,91.6
2025-12-16 23:30:00+00:00,94.4
2025-12-17 02:30:00+00:00,87.6
2025-12-19 17:30:00+00:00,105.57
2025-12-20 13:45:00+00:00,114.56
2025-12-31 11:30:00+00:00,79.35
