bucket,mae,rmse,median_ae,n
negative_price,29.908531660939715,50.20727520393707,22.438308558689908,301
price_gt_200,42.105244600637945,63.21106982125898,29.73322232399478,112
price_gt_500,336.8088069523757,336.8088069523757,336.8088069523757,1
