bucket,mae,rmse,median_ae,n
negative_price,47.21229235880398,78.43278267836159,32.96,301
price_gt_200,58.74232142857142,82.48417659942854,52.32500000000002,112
price_gt_500,373.66999999999996,373.66999999999996,373.66999999999996,1
