model,mae,rmse,median_ae,n
lag_24,26.041347885818958,40.52264346679353,14.900000000000006,6551
lag_168,32.18166234162723,48.58669034729556,19.460000000000008,6551
elasticnet_full,18.901564624192073,27.480289449532968,14.097427334670313,6551
elasticnet_tier1,23.176148006181446,34.00460512397283,15.838304157397772,6551
xgboost_full,16.471919612701925,25.312981293333408,11.529949951171872,6551
xgboost_tier1,22.50057621352942,34.36673837135986,14.117313232421878,6551
