bucket,mae,rmse,median_ae,n
negative_price,23.37596465908362,45.59543523580644,15.91600082397461,301
price_gt_200,38.18952001571655,61.104218649668994,24.670877380371095,112
price_gt_500,336.5820880126953,336.5820880126953,336.5820880126953,1
