bucket,mae,rmse,median_ae,n
negative_price,37.39166301969365,49.4434455634958,29.54,457
price_gt_200,155.89007751937984,200.00201539294625,114.09999999999997,129
price_gt_500,300.5146666666667,310.80110821338246,304.49,15
