timestamp_utc,price_eur_mwh,prediction,fold,residual,forecast_q10,forecast_q50,forecast_q90
2024-08-12 14:00:00+00:00,48.65,89.49579620361328,fold_2,-40.84579620361328,58.01555261230469,78.71415634155272,98.13235031127935
2024-08-12 15:00:00+00:00,89.29,103.35834503173828,fold_2,-14.068345031738275,71.87810144042969,92.57670516967772,111.99489913940435
2024-08-12 16:00:00+00:00,122.78,136.37367248535156,fold_2,-13.593672485351561,104.89342889404297,125.592032623291,145.01022659301762
2024-08-12 17:00:00+00:00,206.02,169.78878784179688,fold_2,36.231212158203135,138.3085442504883,159.00714797973632,178.42534194946293
2024-08-12 18:00:00+00:00,224.84,182.6779022216797,fold_2,42.162097778320316,151.1976586303711,171.89626235961913,191.31445632934575
2024-08-12 19:00:00+00:00,128.34,153.22422790527344,fold_2,-24.884227905273434,121.74398431396484,142.44258804321288,161.8607820129395
2024-08-12 20:00:00+00:00,106.88,119.66128540039062,fold_2,-12.78128540039063,88.18104180908203,108.87964553833007,128.29783950805668
2024-08-12 21:00:00+00:00,100.05,105.650634765625,fold_2,-5.600634765625003,74.1703911743164,94.86899490356444,114.28718887329107
2024-08-12 22:00:00+00:00,99.64,102.2148208618164,fold_2,-2.5748208618164057,70.59725552368162,91.15305419921876,111.28321264648437
2024-08-12 23:00:00+00:00,87.91,95.66390991210938,fold_2,-7.753909912109378,64.0463445739746,84.60214324951173,104.73230169677734
2024-08-13 00:00:00+00:00,86.6,95.35163116455078,fold_2,-8.751631164550787,63.734065826416,84.28986450195313,104.42002294921875
2024-08-13 01:00:00+00:00,84.79,98.60894012451172,fold_2,-13.818940124511712,66.99137478637694,87.54717346191407,107.67733190917968
2024-08-13 02:00:00+00:00,84.76,100.31905364990234,fold_2,-15.559053649902339,68.70148831176756,89.2572869873047,109.38744543457031
2024-08-13 03:00:00+00:00,101.37,109.07150268554688,fold_2,-7.7015026855468705,77.4539373474121,98.00973602294923,118.13989447021484
2024-08-13 04:00:00+00:00,125.66,146.5441131591797,fold_2,-20.88411315917969,114.9265478210449,135.48234649658204,155.61250494384765
2024-08-13 05:00:00+00:00,133.71,152.89454650878906,fold_2,-19.184546508789055,121.27698117065428,141.8327798461914,161.96293829345703
2024-08-13 06:00:00+00:00,117.89,113.71831512451172,fold_2,4.171684875488282,82.10074978637694,102.65654846191407,122.78670690917968
2024-08-13 07:00:00+00:00,87.81,95.22908782958984,fold_2,-7.4190878295898415,63.61152249145506,84.1673211669922,104.29747961425781
2024-08-13 08:00:00+00:00,66.67,56.3178596496582,fold_2,10.352140350341799,24.700294311523425,45.25609298706055,65.38625143432617
2024-08-13 09:00:00+00:00,55.94,38.4764518737793,fold_2,17.4635481262207,6.858886535644519,27.41468521118164,47.54484365844726
2024-08-13 10:00:00+00:00,43.01,24.108400344848636,fold_2,18.90159965515136,-7.5091649932861415,13.046633682250981,33.1767921295166
2024-08-13 11:00:00+00:00,40.37,30.844581604003903,fold_2,9.525418395996095,-0.7729837341308752,19.782814941406247,39.912973388671865
2024-08-13 12:00:00+00:00,47.96,39.93961334228516,fold_2,8.020386657714837,8.322048004150385,28.877846679687508,49.00800512695312
2024-08-13 13:00:00+00:00,64.15,60.52730178833008,fold_2,3.6226982116699276,28.9097364501953,49.46553512573242,69.59569357299804
2024-08-13 14:00:00+00:00,86.0,73.01275634765625,fold_2,12.98724365234375,41.39519100952147,61.950989685058595,82.08114813232422
2024-08-13 15:00:00+00:00,105.0,103.51535034179688,fold_2,1.484649658203125,71.8977850036621,92.45358367919923,112.58374212646484
2024-08-13 16:00:00+00:00,121.04,132.47219848632812,fold_2,-11.432198486328119,100.85463314819334,121.41043182373048,141.5405902709961
2024-08-13 17:00:00+00:00,202.72,205.23123168945312,fold_2,-2.511231689453126,173.61366635131836,194.16946502685548,214.2996234741211
2024-08-13 18:00:00+00:00,205.35,214.69549560546875,fold_2,-9.345495605468756,183.07793026733398,203.6337289428711,223.76388739013672
2024-08-13 19:00:00+00:00,128.9,146.49839782714844,fold_2,-17.598397827148432,114.88083248901366,135.4366311645508,155.5667896118164
2024-08-13 20:00:00+00:00,111.48,118.08821105957033,fold_2,-6.608211059570323,86.47064572143555,107.02644439697266,127.1566028442383
2024-08-13 21:00:00+00:00,104.99,105.8481216430664,fold_2,-0.8581216430664114,74.23055630493162,94.78635498046876,114.91651342773437
2024-08-13 22:00:00+00:00,87.73,102.1866226196289,fold_2,-14.456622619628902,70.80165522766113,91.49749084472656,111.3737433166504
2024-08-13 23:00:00+00:00,90.79,99.77703857421876,fold_2,-8.987038574218758,68.39207118225099,89.08790679931641,108.96415927124026
2024-08-14 00:00:00+00:00,87.73,99.5038604736328,fold_2,-11.773860473632794,68.11889308166502,88.81472869873045,108.6909811706543
2024-08-14 01:00:00+00:00,93.4,101.47399139404295,fold_2,-8.073991394042949,70.08902400207518,90.7848596191406,110.66111209106445
2024-08-14 02:00:00+00:00,93.6,103.66277313232422,fold_2,-10.062773132324224,72.27780574035644,92.97364135742187,112.84989382934572
2024-08-14 03:00:00+00:00,107.1,112.02825927734376,fold_2,-4.92825927734377,80.64329188537599,101.33912750244141,121.21537997436526
2024-08-14 04:00:00+00:00,129.74,142.3301239013672,fold_2,-12.590123901367178,110.94515650939941,131.64099212646482,151.5172445983887
2024-08-14 05:00:00+00:00,136.62,148.17742919921875,fold_2,-11.557429199218745,116.79246180725097,137.48829742431639,157.36454989624025
2024-08-14 06:00:00+00:00,120.96,129.8660430908203,fold_2,-8.906043090820319,98.48107569885254,119.17691131591796,139.0531637878418
2024-08-14 07:00:00+00:00,108.79,105.2056884765625,fold_2,3.5843115234375063,73.82072108459472,94.51655670166015,114.392809173584
2024-08-14 08:00:00+00:00,83.08,89.05587005615234,fold_2,-5.9758700561523455,57.67090266418457,78.36673828125,98.24299075317384
2024-08-14 09:00:00+00:00,77.24,76.90858459472656,fold_2,0.3314154052734324,45.523617202758786,66.21945281982421,86.09570529174806
2024-08-14 10:00:00+00:00,72.85,67.4013671875,fold_2,5.448632812499994,36.01639979553222,56.71223541259765,76.5884878845215
2024-08-14 11:00:00+00:00,75.38,63.67875671386719,fold_2,11.701243286132808,32.29378932189941,52.98962493896484,72.86587741088869
2024-08-14 12:00:00+00:00,74.71,69.87338256835938,fold_2,4.836617431640619,38.4884151763916,59.184250793457025,79.06050326538087
2024-08-14 13:00:00+00:00,81.74,87.52775573730469,fold_2,-5.787755737304693,56.14278834533691,76.83862396240234,96.71487643432619
2024-08-14 14:00:00+00:00,94.36,100.26438903808594,fold_2,-5.904389038085938,68.87942164611816,89.57525726318359,109.45150973510744
2024-08-14 15:00:00+00:00,105.59,112.9900360107422,fold_2,-7.400036010742198,81.60506861877442,102.30090423583985,122.1771567077637
2024-08-14 16:00:00+00:00,111.48,134.42466735839844,fold_2,-22.944667358398434,103.03969996643066,123.73553558349609,143.61178805541994
2024-08-14 17:00:00+00:00,161.41,196.35427856445312,fold_2,-34.94427856445313,164.96931117248533,185.66514678955076,205.54139926147462
2024-08-14 18:00:00+00:00,218.92,200.41790771484372,fold_2,18.502092285156266,169.03294032287596,189.72877593994139,209.60502841186522
2024-08-14 19:00:00+00:00,148.7,146.17376708984375,fold_2,2.5262329101562386,114.78879969787597,135.48463531494139,155.36088778686525
2024-08-14 20:00:00+00:00,120.43,128.47500610351562,fold_2,-8.045006103515618,97.09003871154785,117.78587432861327,137.66212680053712
