fold,n,nominal_coverage,empirical_coverage,frac_below_lower,frac_above_upper
fold_1,8398,0.8,0.8011431293165039,0.09430816861157418,0.10454870207192189
fold_2,8782,0.8,0.7861534957868367,0.11546344796173992,0.09838305625142336
fold_3,6551,0.8,0.7775912074492444,0.10853304838955885,0.11387574416119677
regime_stress_test,2207,0.8,0.790666062528319,0.11508835523334844,0.09424558223833258
