bucket,mae,rmse,median_ae,n
negative_price,30.061496132228978,39.83757491104019,23.510492094061988,525
price_gt_200,103.40104124450613,126.00239367949037,83.81742523364258,110
price_gt_500,413.8581149959764,413.8581149959764,413.8581149959764,1
