bucket,mae,rmse,median_ae,n
negative_price,20.52889818293707,26.58176983761831,18.44039616307126,457
price_gt_200,128.75611138745552,172.22742850841118,87.06048423122655,129
price_gt_500,354.6833178437344,366.3765724023792,347.88368357520443,15
