hour_local,mae,rmse,median_ae,n
0,24.31930402930403,34.63219977379666,16.209999999999994,273
1,24.059706959706958,34.254089929862054,15.850000000000009,273
2,23.998345588235296,34.652972641140714,14.665,272
3,23.823040293040293,34.525744744800946,14.740000000000009,273
4,23.062710622710622,33.41040098192319,14.409999999999997,273
5,22.697252747252747,33.30269233635348,13.019999999999996,273
6,25.795604395604396,37.36406432073608,15.320000000000007,273
7,31.470146520146514,47.9317286650556,18.99000000000001,273
8,34.003956043956045,53.26564950868821,21.620000000000005,273
9,33.26754578754579,48.04519580104175,21.890000000000015,273
10,37.942124542124546,51.14267216083762,27.54,273
11,39.15545787545787,52.42555110622308,30.310000000000002,273
12,40.54304029304029,55.838517064048965,30.0,273
13,41.33527472527473,58.57488680713659,29.3,273
14,39.449890109890106,55.129272706589454,30.28,273
15,36.27249084249084,49.4450236276459,28.900000000000006,273
16,37.7451282051282,53.88137746348582,25.599999999999994,273
17,37.98003663003663,63.71757742486584,19.730000000000004,273
18,36.05362637362637,58.9645763341946,17.78,273
19,42.84318681318681,69.04650679071317,24.200000000000003,273
20,41.17571428571429,61.926303106866605,26.08,273
21,31.29769230769231,48.02349603886489,20.730000000000004,273
22,22.823992673992674,33.367846047008335,13.810000000000002,273
23,21.214652014652014,31.029262969647867,12.929999999999993,273
