hour_local,mae,rmse,median_ae,n
0,27.30879452054794,37.83371722654387,18.059999999999995,365
1,27.63950819672131,37.8345429959957,18.409999999999997,366
2,27.803306010928964,37.971863069550295,18.41,366
3,27.7422131147541,38.03660594843476,16.944999999999993,366
4,27.538497267759563,37.90014970701577,16.339999999999996,366
5,27.592568306010932,37.55008119584041,17.92,366
6,28.56882513661202,38.74602265151193,19.705,366
7,33.93213114754098,57.23510128996132,21.015,366
8,33.218387978142076,59.116816024590214,20.230000000000004,366
9,32.44562841530055,58.459802956806435,21.145,366
10,32.811885245901635,53.599145283638734,21.775000000000006,366
11,34.907786885245905,53.01904865183226,26.824999999999996,366
12,36.610081967213105,53.00297800428203,28.224999999999998,366
13,37.46229508196721,55.04687100193639,28.240000000000002,366
14,36.86103825136612,56.28725778603039,25.290000000000006,366
15,37.279726775956284,64.16724117832368,25.975,366
16,39.68907103825136,77.67270731217103,25.369999999999997,366
17,44.195491803278685,95.7031840649199,23.915,366
18,41.39412568306012,81.06148613338523,25.060000000000002,366
19,44.07224043715848,76.61093651328525,27.175000000000004,366
20,36.26655737704918,55.856461788205564,24.154999999999994,366
21,26.289672131147544,35.83781553616754,18.380000000000003,366
22,22.185218579234974,31.09136429310489,14.675000000000004,366
23,23.126958904109586,32.45730133364469,15.659999999999997,365
