model,mae,rmse,median_ae,n
lag_24,27.82006718287406,44.308255927134915,17.295,8782
lag_168,32.79097472102026,55.21287917840556,21.300000000000004,8782
elasticnet_full,20.910833676128693,33.469703201794246,16.030019187999958,8782
elasticnet_tier1,24.59567712369633,38.490955921166716,17.32578031007681,8782
