fold,n,nominal_coverage,empirical_coverage,frac_below_lower,frac_above_upper
fold_1,8398,0.8,0.8172183853298405,0.09502262443438914,0.08775899023577043
fold_2,8782,0.8,0.7825096788886359,0.10430425871099977,0.11318606240036438
fold_3,6551,0.8,0.803694092504961,0.10288505571668448,0.09342085177835445
regime_stress_test,2207,0.8,0.8269143633892161,0.06524694154961486,0.10783869506116901
