window_days,n,n_warmup,pooled_coverage,pooled_frac_below,pooled_frac_above,mean_width,median_width,interval_score
60,24114,0,0.7843991042547898,0.1088164551712698,0.10678444057394045,45.90465926515292,45.24534658050538,81.45333443633442
90,24114,0,0.7836526499129136,0.10794559177241436,0.10840175831467197,46.57859592381653,45.70958300781251,82.54485781228979
120,24114,0,0.7829891349423571,0.10748942523015675,0.1095214398274861,47.17703663995944,45.9109595975876,83.50669984181039
365,24114,0,0.7983743883221365,0.09732935224351,0.10429625943435349,49.42109207492878,49.59942681121826,84.31855267992663
180,24114,0,0.7897486937049017,0.10284482043626109,0.10740648585883719,48.17553835061978,47.50151358032225,84.39360187832698
