fold,n,nominal_coverage,empirical_coverage,frac_below_lower,frac_above_upper
fold_1,8038,0.8,0.8065439163971138,0.08123911420751431,0.11221696939537198
fold_2,8782,0.8,0.7810293782737417,0.12184012753359144,0.09713049419266682
fold_3,6551,0.8,0.7945351854678675,0.09342085177835445,0.11204396275377805
regime_stress_test,2207,0.8,0.7621205256003625,0.13729043951064793,0.10058903488898958
