strategy,confidence_level,var,es,n_total,n_tail,low_precision
S0,0.95,0.0,0.0,1081,54.05000000000005,False
S0,0.99,0.0,0.0,1081,10.81000000000001,True
S1,0.95,14.211499999999988,25.04206891766882,1081,54.05000000000005,False
S1,0.99,28.396800000000045,46.89659296947271,1081,10.81000000000001,True
S2,0.95,2.903500000000008,10.571573543015718,1081,54.05000000000005,False
S2,0.99,16.16990000000007,21.07180712303423,1081,10.81000000000001,True
S3,0.95,0.0,0.6067160037002777,1081,54.05000000000005,False
S3,0.99,0.0,3.033580018501388,1081,10.81000000000001,True
S4,0.95,9.84299999999999,20.811473635522653,1081,54.05000000000005,False
S4,0.99,26.43920000000005,38.66003330249767,1081,10.81000000000001,True
S5,0.95,0.0,3.064898242368175,1081,54.05000000000005,False
S5,0.99,0.0,15.324491211840872,1081,10.81000000000001,True
