eta_rt,c,S0_total_net_pnl,S1_total_net_pnl,S2_total_net_pnl,S3_total_net_pnl,S4_total_net_pnl,S5_total_net_pnl,delta_forecast,delta_uncertainty,delta_tier1,delta_tier1_u
0.7,5,0.0,44612.393749999996,52507.59099999999,45650.937999999995,46406.634999999995,23132.378,7895.197249999997,-6856.652999999998,-6100.955999999998,-22518.559999999994
0.7,10,0.0,36521.727999999996,44180.64349999999,37900.892,37743.89074999999,17146.409249999997,7658.9154999999955,-6279.751499999991,-6436.75275,-20754.482750000003
0.7,15,0.0,29673.411499999995,36895.58824999999,30913.165999999997,30139.837749999995,12023.086,7222.176749999999,-5982.422249999996,-6755.750499999998,-18890.079999999998
0.85,5,0.0,66578.81425,74841.069125,67099.934625,68483.296625,37635.446874999994,8262.254874999999,-7741.1345,-6357.772499999992,-29464.48775
0.85,10,0.0,56609.148375,64903.92737499999,56143.192375,58179.078125,29155.174625,8294.778999999995,-8760.734999999993,-6724.849249999992,-26988.01775
0.85,15,0.0,46523.689625,55229.851624999996,47487.285875,48471.13325,21775.941874999997,8706.161999999997,-7742.565749999994,-6758.718374999997,-25711.344000000005
0.92,5,0.0,76833.5582,85369.49320000001,78104.85990000001,78903.028,46541.11390000001,8535.935000000012,-7264.633300000001,-6466.465200000006,-31563.746
0.92,10,0.0,66294.1092,75067.57430000001,66617.0319,68068.04720000002,36151.04840000001,8773.465100000001,-8450.542400000006,-6999.527099999992,-30465.983499999995
0.92,15,0.0,56052.28760000001,64788.49510000001,55868.312900000004,57760.53970000001,27513.5453,8736.207499999997,-8920.182200000003,-7027.955399999999,-28354.767600000003
