model,mae,rmse,median_ae,n
lag_24,27.150701286658165,39.945454129623876,16.739999999999995,8627
lag_168,33.452121247247014,47.779884886146334,21.810000000000002,8627
elasticnet_full,19.51102475849776,27.018922639008913,14.637333021346876,8627
elasticnet_tier1,22.937438701140234,32.13284220402594,16.61299285090773,8627
