bucket,mae,rmse,median_ae,n
negative_price,35.467369628295884,45.460728207397224,27.7467994078962,437
price_gt_200,147.0609042350947,187.08789934548696,106.44491020261236,129
price_gt_500,368.83308750108256,379.62703228579744,364.77271578081496,15
