hour_local,mae,rmse,median_ae,n
0,19.198143790691923,26.32574795833059,13.288281071138414,364
1,19.43539395285151,26.61906581686768,13.562591320500275,361
2,19.04292992314967,25.804146907106,13.396915793482691,341
3,19.20766602223696,26.00769967003249,13.126278937603544,361
4,18.53976327400389,25.026705420211417,13.290057703867916,357
5,17.50738559821078,23.29720992537592,12.772048536574985,357
6,16.996367112335374,22.75435039334827,13.26106351134942,357
7,19.148444490310027,26.389101191692323,14.823772472671598,353
8,18.807223577668903,25.348320888452747,14.044146001929875,355
9,18.648373482545697,24.740623156592797,15.13660642049932,363
10,19.332627667572268,25.39203254683712,14.958376852458805,362
11,20.197264017444432,25.956834338828546,16.46207096568032,361
12,22.106677378616812,28.60860680220503,18.489287827499737,365
13,23.280648464429397,31.62744473744337,18.905053518163996,365
14,23.2079893392717,31.847862714348135,17.9971567717583,349
15,23.191539388123218,34.48537865895002,19.172143564003008,361
16,20.178869664899324,26.250966224626133,16.157196851039288,365
17,17.841418034334797,24.16858557826425,13.556897049910688,361
18,17.98274643557161,25.16309727259512,13.756400439747722,357
19,22.473761891583187,35.31398928198533,16.216646292370342,365
20,20.329997624307417,30.514559890142426,15.81998133915691,361
21,17.14501018066725,23.789614472919077,12.432772686864553,361
22,16.590785249428208,23.271464591177136,11.123599287401248,361
23,17.784496662936082,24.412324648767715,12.89535131175682,364
