hour_local,mae,rmse,median_ae,n
0,30.007500000000004,42.60139906707909,18.275000000000002,364
1,30.144792243767313,43.5149394571069,17.199999999999996,361
2,29.0958357771261,42.744870440482174,17.5,341
3,31.38157894736842,45.25855477511859,18.59,361
4,31.662521008403363,45.59552843695726,17.75999999999999,357
5,30.619187675070027,43.81814820099893,17.769999999999996,357
6,30.40826330532213,41.93513513539129,21.75,357
7,33.708611898017,48.07522206678341,21.89,353
8,33.384084507042246,46.244555732859816,23.140000000000015,355
9,33.009504132231406,46.037575367627994,22.50999999999999,363
10,34.06696132596685,46.83604064515827,23.650000000000006,362
11,35.75515235457064,47.98915805820867,25.230000000000004,361
12,38.728136986301365,51.346165387495105,27.419999999999987,365
13,40.594986301369865,55.53046198209777,29.09,365
14,41.12515759312321,60.161727217363904,28.549999999999997,349
15,40.31581717451523,59.67218446324014,29.150000000000002,361
16,37.24860273972603,51.276630998685384,25.58,365
17,34.65193905817174,49.71947263678265,22.439999999999998,361
18,32.463865546218486,46.82423560268668,19.689999999999998,357
19,37.01169863013699,56.16226928980721,23.539999999999992,365
20,34.53703601108033,50.141147574177054,24.36,361
21,30.041052631578946,41.33227630152891,20.490000000000002,361
22,26.4296675900277,37.12279039937611,17.820000000000007,361
23,26.251428571428573,37.73718166040397,15.560000000000002,364
