threshold,trades,net_pnl,hit_rate,worst_day,max_drawdown,overlap_with_s3,threshold_only,s3_only
0,210,20002.01925,0.919047619047619,-17.54675,-22.6075,160,50,0
20,187,19919.242,0.9679144385026738,-8.377625,-16.4835,160,27,0
30,174,19545.133125,0.9827586206896551,-8.105875,-8.105875,160,14,0
40,165,19350.465875,0.9939393939393939,-0.827,-0.827,160,5,0
42.5,160,19079.263375,0.99375,-0.827,-0.827,158,2,2
50,152,18512.918,1.0,0.0,0.0,152,0,8
60,146,18143.344625,1.0,0.0,0.0,146,0,14
