contrast,n_days,total_difference,mean_daily_difference,sd_daily_difference,block7_ci_low,block7_ci_high,wins,losses,ties
S2-S1,212,1437.596375,6.7811149764151,22.394293,752.080734375,2140.9846531250014,95,63,54
S3-S2,212,-872.011,-4.113259433962264,15.703285,-1465.1722,-358.71768750000035,16,34,162
S4-S2,212,-783.605125,-3.6962505896226415,15.184387,-1270.3527343750009,-340.96145312500096,49,97,66
S5-S3,212,-4408.774,-20.796103773584904,45.968187,-6229.925428124999,-2728.8392718750006,29,91,92
S2-trailing7,212,279.725375,1.319459316037736,11.969559,-89.49025937500019,640.5861343749992,87,61,64
S4-trailing7,212,-503.87975,-2.376791273584906,16.151511,-1044.4393249999998,-53.67516250000033,62,73,77
