window_days,benchmark_net_pnl,full_minus_benchmark,benchmark_gain_over_lag24,share_of_full_gain_over_lag24
3,19509.580999999995,492.4382500000138,945.1581249999945,0.657457226128571
7,19722.293875,279.7253750000091,1157.8709999999992,0.8054214800033789
10,19560.730750000006,441.2885000000024,996.3078750000059,0.6930372755009209
14,19677.787250000005,324.2320000000036,1113.3643750000047,0.7744624251713199
21,19678.046875000004,323.97237500000483,1113.6240000000034,0.7746430217591478
28,19511.088625,490.93062500000815,946.6657500000001,0.6585059384279504
