window_days,n,n_warmup,pooled_coverage,pooled_frac_below,pooled_frac_above,mean_width,median_width,interval_score
60,25938,360,0.7892281594571671,0.10683167553396561,0.1039401650088673,47.124910781314014,45.8466745605469,81.43995116105182
90,25770,528,0.7889018238261545,0.10554908808692277,0.10554908808692277,47.687358922587975,46.27900601196289,82.26168760573508
120,25578,720,0.7898975682226914,0.10329189146923137,0.10681054030807725,48.06502385711215,46.35702059936525,82.90595896583865
180,25218,1080,0.7949480529780316,0.1000475850582917,0.10500436196367674,48.667523677756655,47.93421563720706,83.68639004445414
365,24115,2183,0.7978021978021979,0.09753265602322206,0.10466514617458014,49.42539699353767,49.60999499511718,84.4257705073965
