window_days,n,n_warmup,pooled_coverage,pooled_frac_below,pooled_frac_above,mean_width,median_width,interval_score
60,24115,0,0.7824590503835787,0.10955836616213975,0.10798258345428156,45.909621307089125,45.30761450195314,82.0490163284754
90,24115,0,0.7815882230976571,0.10889487870619946,0.10951689819614348,46.58101737456028,45.7078828125,82.94434385799478
120,24115,0,0.7821273066556086,0.10765083972631143,0.11022185361808003,47.178924166413516,45.90108401489255,83.79362469443372
365,24115,0,0.7978021978021979,0.09753265602322206,0.10466514617458014,49.42539699353767,49.60999499511718,84.4257705073965
180,24115,0,0.7889280530789965,0.10308936346672196,0.10798258345428156,48.180309120523404,47.52690850830077,84.5942610464733
