eta_rt,c,S0_total_net_pnl,S1_total_net_pnl,S2_total_net_pnl,S3_total_net_pnl,S4_total_net_pnl,S5_total_net_pnl,delta_forecast,delta_uncertainty,delta_tier1,delta_tier1_u
0.7,5,0.0,44612.393749999996,52507.59099999999,45720.686,46406.634999999995,23586.951999999997,7895.197249999997,-6786.904999999992,-6100.955999999998,-22133.734000000004
0.7,10,0.0,36521.727999999996,44180.64349999999,37852.361999999994,37743.89074999999,17453.88125,7658.9154999999955,-6328.281499999997,-6436.75275,-20398.480749999995
0.7,15,0.0,29673.411499999995,36895.58824999999,31007.643999999997,30139.837749999995,12367.170999999998,7222.176749999999,-5887.944249999997,-6755.750499999998,-18640.472999999998
0.85,5,0.0,66578.81425,74841.069125,67075.844625,68483.296625,37903.47887499999,8262.254874999999,-7765.224499999997,-6357.772499999992,-29172.365750000004
0.85,10,0.0,56609.148375,64903.92737499999,56182.420874999996,58179.078125,29906.795125,8294.778999999995,-8721.506499999996,-6724.849249999992,-26275.625749999996
0.85,15,0.0,46523.689625,55229.851624999996,47348.818374999995,48471.13325,22275.905874999997,8706.161999999997,-7881.03325,-6758.718374999997,-25072.9125
0.92,5,0.0,76833.5582,85369.49320000001,78102.472,78903.028,46535.201100000006,8535.935000000012,-7267.021200000017,-6466.465200000006,-31567.27089999999
0.92,10,0.0,66294.1092,75067.57430000001,66588.8843,68068.04720000002,36469.6996,8773.465100000001,-8478.690000000002,-6999.527099999992,-30119.184700000005
0.92,15,0.0,56052.28760000001,64788.49510000001,55751.950500000006,57760.53970000001,28141.1677,8736.207499999997,-9036.544600000001,-7027.955399999999,-27610.782800000004
