model,mae,rmse,median_ae,n
lag_24,27.661256581256584,44.265464824797405,17.159999999999997,8547
lag_168,32.535260325260325,54.776223560875096,21.17,8547
elasticnet_full,20.89539930937342,33.609438812358384,15.97554355722994,8547
elasticnet_tier1,24.546256138745306,38.59563589673266,17.305206600166407,8547
xgboost_full,16.585216533764175,27.620129897947702,11.59756774902344,8547
xgboost_tier1,22.839761146240043,36.19456340150979,15.325213623046878,8547
