model,mae,rmse,median_ae,n
lag_24,27.150701286658165,39.945454129623876,16.739999999999995,8627
lag_168,33.452121247247014,47.779884886146334,21.810000000000002,8627
elasticnet_full,19.510690119670503,27.018785257993116,14.63892211455098,8627
elasticnet_tier1,22.93655676262666,32.13259761231077,16.61116156421106,8627
xgboost_full,17.06163051069847,23.372359545331143,13.447441101074219,8627
xgboost_tier1,23.575396885304237,33.852456372108655,16.298614501953125,8627
