bucket,mae,rmse,median_ae,n
negative_price,37.52562929061785,49.62839616309219,29.54,437
price_gt_200,155.89007751937984,200.00201539294625,114.09999999999997,129
price_gt_500,300.5146666666667,310.80110821338246,304.49,15
