hour_local,mae,rmse,median_ae,n
0,11.66626215291984,15.615257183463717,8.73098114013672,273
1,11.3370686196921,15.256602078064558,9.083566894531245,265
2,11.232303934778487,14.478491572577106,9.33584976196289,266
3,11.57341643194586,15.122396403292624,9.087685546874994,261
4,11.40097710680062,14.921246896945126,9.435770568847659,265
5,11.726104861615779,15.402949345139866,9.04522705078125,273
6,14.105503847962417,18.407703127276864,11.021557922363286,269
7,16.17841234598732,22.065798368853503,13.25431274414062,273
8,18.42769719836397,27.35008483273906,14.357909545898437,265
9,16.74486752762681,23.3822524676812,11.606510162353516,273
10,18.73710314163795,26.207276275578007,13.108782958984378,273
11,20.194730739593506,28.017075915874212,14.239895210266113,269
12,20.85957905393817,30.55368245499827,13.026880493164057,273
13,21.98244666141283,33.52013013766401,14.541545410156253,261
14,22.56438018285387,32.81228893488314,15.33619216918946,241
15,20.046568446355366,27.747687835991442,14.59612426757812,241
16,19.656328570243442,30.475927136682703,13.830664672851555,269
17,21.035338716341023,37.40914093294608,15.260425415039066,273
18,18.966589444915602,30.08479223883587,12.521789855957024,269
19,22.403673039251196,38.29105989584872,14.356947631835936,273
20,21.533282723898417,33.06251531226355,15.053602905273436,273
21,17.697781706600825,26.268270085204353,12.925131225585943,269
22,13.793460501986365,18.544821290013655,10.265933837890628,269
23,11.927319034464631,15.78798279110587,8.943509216308598,273
