bucket,mae,rmse,median_ae,n
negative_price,35.47307765349814,45.4663022933239,27.758677059791236,437
price_gt_200,147.05827142413366,187.0829466436259,106.44204007662844,129
price_gt_500,368.840216034839,379.634523037171,364.793718481528,15
