bucket,mae,rmse,median_ae,n
negative_price,28.463260368614566,43.30441084623322,21.926738100119607,290
price_gt_200,42.42576514397515,64.10403923938455,29.58974486269244,106
price_gt_500,336.5366672308163,336.5366672308163,336.5366672308163,1
