model,mae,rmse,median_ae,n
lag_24,25.97659073178343,40.32604608292469,14.949999999999989,6409
lag_168,32.12624590419722,48.42209850672174,19.480000000000004,6409
elasticnet_full,18.813945892870148,27.24803231981043,14.043138089638987,6409
elasticnet_tier1,23.101682587415063,33.78009113334851,15.821657604194868,6409
xgboost_full,16.8808185586131,25.754502759091878,11.728836822509766,6409
xgboost_tier1,22.202310102706853,33.795700182976034,14.226809692382815,6409
