hour_local,mae,rmse,median_ae,n
0,19.045336671254617,24.77161262529348,15.942267805965223,362
1,18.842310749331336,24.13002389865574,16.88081285884555,357
2,19.25699827921657,24.078847070952566,17.70897185865167,358
3,19.40234005806157,24.302223344699463,17.918110144220663,361
4,18.864628224177316,23.687759153260906,16.543376610574754,345
5,18.93048783543019,24.551820958227196,15.617568333084947,353
6,18.734063519254267,25.073781424610328,15.262535896709537,353
7,23.599085212222924,38.24811463983766,16.499980024337688,353
8,21.911529552448396,37.19857148098827,15.076796611763058,345
9,19.88451724771941,34.064369133192365,14.697775489161678,358
10,19.036903186694474,30.25866344561284,14.06304829235659,360
11,20.544450888343892,29.58141905017548,16.561894694536505,353
12,20.68557397714993,29.071138824886013,17.517747231352985,353
13,21.341476299347264,30.542756347281646,16.994073593634695,357
14,20.967916566980712,31.206336092879027,17.06129282171861,334
15,20.930356596385693,36.56210602666988,15.171776865897574,350
16,22.80707624432823,45.60420720222935,14.56885369457785,360
17,24.760104253144235,56.048362551272035,14.173953312117739,364
18,25.8017884402473,49.776536574455754,15.486527276201322,360
19,27.63885182313738,47.91848562093608,16.65197406831735,360
20,24.68077154520322,37.11251120480901,18.425863021955724,364
21,18.552749806165757,24.481896313292623,14.58916372652314,364
22,17.4960356298242,22.64474118026229,15.31770592274082,360
23,17.65395379832688,22.784621411463274,14.307154129201209,363
