hour_local,mae,rmse,median_ae,n
0,21.09156048842463,29.119436164514422,15.971969850736876,364
1,21.428088808172106,29.70405394756637,15.148702010892919,361
2,21.475518927809233,29.31065279054283,15.796402865735928,341
3,22.128011807970363,29.92700357622319,16.120993410708365,361
4,22.046586247467644,29.850613017771742,15.856158828082222,357
5,20.98931444135878,28.487810869344134,15.859483434475734,357
6,20.764937018581296,28.250041613670426,14.687963412778245,357
7,23.664771866431348,32.86910143110613,16.827598237983835,353
8,23.482983026377195,32.247050957673835,17.26082880156528,355
9,22.435309346755126,30.69758258752501,17.491909675345724,363
10,22.92917838535803,30.872267508943516,18.039134865704327,362
11,23.322455137919203,31.592949637893266,19.04425048008416,361
12,25.024232576566966,33.863423153817635,18.414967039062034,365
13,26.52820024445294,37.23133745307808,19.04018845162885,365
14,26.90557887037769,37.62325838396634,17.76205227469562,349
15,26.995247917739416,41.09180763400479,18.91500288894781,361
16,24.20100533090234,32.673979249986964,18.058080849743135,365
17,22.86092786100257,30.618709963406854,17.013531460567492,361
18,22.963245874412117,31.709844603670543,16.600788480251822,357
19,27.29401233840977,41.657928162091025,19.293420999395494,365
20,24.1557428193502,35.35572714499362,18.06333452919651,361
21,20.229014292104004,27.798846491995143,15.059291022067185,361
22,18.298368526035237,25.269629954032578,13.403366410369586,361
23,19.207970262379938,26.928439600359734,13.535323790868338,364
