bucket,mae,rmse,median_ae,n
negative_price,19.908331671366504,27.98428843974329,15.644837663811899,490
price_gt_200,83.77360879925935,106.65604643605886,68.87407123160172,108
price_gt_500,375.789941690202,375.789941690202,375.789941690202,1
